<img src=""><br>állat,<img src=""><br>animal
<img src=""><br>zöld,<img src=""><br>green
<img src=""><br>szürke,<img src=""><br>grey
<img src=""><br>felnőni,<img src=""><br>grow up
<img src=""><br>gyerekeket vállalni,<img src=""><br>have children
<img src=""><br>magasság,<img src=""><br>height
<img src=""><br>dőlt,<img src=""><br>italics
<img src=""><br>kulcspillanat,<img src=""><br>key moment
<img src=""><br>elhagyni az iskolát,<img src=""><br>leave school
<img src=""><br>világosbarna,<img src=""><br>light brown
<img src=""><br>logikus sorrend,<img src=""><br>logical order
<img src=""><br>hosszú,<img src=""><br>long
<img src=""><br>bajusz,<img src=""><br>moustache
<img src=""><br>kihagyni,<img src=""><br>omit
<img src=""><br>túlsúlyos,<img src=""><br>overweight
<img src=""><br>magánélet,<img src=""><br>personal life
<img src=""><br>kérdőjel,<img src=""><br>question mark
<img src=""><br>reagálni,<img src=""><br>react
<img src=""><br>piros,<img src=""><br>red
<img src=""><br>kerek,<img src=""><br>round
<img src=""><br>szomorú,<img src=""><br>sad
<img src=""><br>alacsony,<img src=""><br>short
<img src=""><br>bőr,<img src=""><br>skin
<img src=""><br>karcsú,<img src=""><br>slim
<img src=""><br>tüskés,<img src=""><br>spiky
<img src=""><br>szögletes,<img src=""><br>square
<img src=""><br>egyenes,<img src=""><br>straight
<img src=""><br>napszemüveg,<img src=""><br>sunglasses
<img src=""><br>szörfözés,<img src=""><br>surfing
<img src=""><br>vesz,<img src=""><br>take
<img src=""><br>vékony,<img src=""><br>thin
<img src=""><br>teherautó-sofőr,<img src=""><br>truck driver
<img src=""><br>korrepetitor,<img src=""><br>tutor
<img src=""><br>ősz,<img src=""><br>autumn
<img src=""><br>kempingezés,<img src=""><br>camping
<img src=""><br>táborhely,<img src=""><br>campsite
<img src=""><br>cipelés,<img src=""><br>carry
<img src=""><br>felhős,<img src=""><br>cloudy
<img src=""><br>hideg,<img src=""><br>cold
<img src=""><br>kontinens,<img src=""><br>continent
<img src=""><br>hűvös,<img src=""><br>cool
<img src=""><br>hajózás,<img src=""><br>cruise
<img src=""><br>kerékpáros,<img src=""><br>cyclist
<img src=""><br>ködös,<img src=""><br>foggy
<img src=""><br>vizes lesz,<img src=""><br>get wet
<img src=""><br>elmegy,<img src=""><br>go away
<img src=""><br>útmutató,<img src=""><br>guidebook
<img src=""><br>forró,<img src=""><br>hot
<img src=""><br>hatalmas,<img src=""><br>huge
<img src=""><br>jégkorong,<img src=""><br>ice hockey
<img src=""><br>jeges,<img src=""><br>icy
<img src=""><br>rovarspray,<img src=""><br>insect spray
<img src=""><br>villámlás,<img src=""><br>lightning
<img src=""><br>lottó,<img src=""><br>lottery
<img src=""><br>szerencsés,<img src=""><br>lucky
<img src=""><br>szabadtéri,<img src=""><br>outdoor
<img src=""><br>pingvin,<img src=""><br>penguin
<img src=""><br>zsebkéses bicska,<img src=""><br>penknife
<img src=""><br>kifejezésgyűjtemény,<img src=""><br>phrasebook
<img src=""><br>piknik,<img src=""><br>picnic
<img src=""><br>terv,<img src=""><br>plan
<img src=""><br>jegesmedve,<img src=""><br>polar bear
<img src=""><br>hozzászólás írása,<img src=""><br>post a comment
<img src=""><br>valószínűleg,<img src=""><br>probably
<img src=""><br>ígéret,<img src=""><br>promise
<img src=""><br>esős,<img src=""><br>rainy
<img src=""><br>hátizsák,<img src=""><br>rucksack
<img src=""><br>sampon,<img src=""><br>shampoo
<img src=""><br>hálózsák,<img src=""><br>sleeping bag
<img src=""><br>havas,<img src=""><br>snowy
<img src=""><br>szappan,<img src=""><br>soap
<img src=""><br>tavasz,<img src=""><br>spring
<img src=""><br>maradj,<img src=""><br>stay
<img src=""><br>viharos,<img src=""><br>stormy
<img src=""><br>bőrönd,<img src=""><br>suitcase
<img src=""><br>naptej,<img src=""><br>sun cream
<img src=""><br>napos,<img src=""><br>sunny
<img src=""><br>szörfözés,<img src=""><br>surfing
<img src=""><br>úszóruha,<img src=""><br>swimming costume
<img src=""><br>sátor,<img src=""><br>tent
<img src=""><br>mennydörgés,<img src=""><br>thunder
<img src=""><br>fogkefe,<img src=""><br>toothbrush
<img src=""><br>fogkrém,<img src=""><br>toothpaste
<img src=""><br>zseblámpa,<img src=""><br>torch
<img src=""><br>törölköző,<img src=""><br>towel
<img src=""><br>törzsek,<img src=""><br>trunks
<img src=""><br>mosdózsák,<img src=""><br>washbag
<img src=""><br>vizespalack,<img src=""><br>water bottle
<img src=""><br>vízálló ruhák,<img src=""><br>waterproofs
<img src=""><br>időjárás,<img src=""><br>weather
<img src=""><br>súlyzó,<img src=""><br>weigh
<img src=""><br>nedves,<img src=""><br>wet
<img src=""><br>szél,<img src=""><br>wind
<img src=""><br>szeles,<img src=""><br>windy
<img src=""><br>tél,<img src=""><br>winter
<img src=""><br>könyvesbolt,<img src=""><br>bookshop
<img src=""><br>hentesüzlet,<img src=""><br>butcher's
<img src=""><br>gyógyszertár,<img src=""><br>chemist's
<img src=""><br>halárus,<img src=""><br>fishmonger's
<img src=""><br>pékség,<img src=""><br>baker's
<img src=""><br>ruhabolt,<img src=""><br>clothes shop
<img src=""><br>zöldségbolt,<img src=""><br>greengrocer's
<img src=""><br>újságos,<img src=""><br>newsagent's
<img src=""><br>konyha,<img src=""><br>kitchen
<img src=""><br>dolgozószoba,<img src=""><br>study
<img src=""><br>nappali,<img src=""><br>living room
<img src=""><br>kert,<img src=""><br>garden
<img src=""><br>hálószoba,<img src=""><br>bedroom
<img src=""><br>étkező,<img src=""><br>dining room
<img src=""><br>fürdőszoba,<img src=""><br>bathroom
<img src=""><br>garázs,<img src=""><br>garage
<img src=""><br>fej,<img src=""><br>head
<img src=""><br>nyak,<img src=""><br>neck
<img src=""><br>haj,<img src=""><br>hair
<img src=""><br>szem,<img src=""><br>eye
<img src=""><br>orr,<img src=""><br>nose
<img src=""><br>száj,<img src=""><br>mouth
<img src=""><br>kéz,<img src=""><br>hand
<img src=""><br>láb,<img src=""><br>foot
<img src=""><br>lábszár,<img src=""><br>leg
<img src=""><br>boka,<img src=""><br>ankle
<img src=""><br>hát,<img src=""><br>back
<img src=""><br>kar,<img src=""><br>arm
<img src=""><br>könyök,<img src=""><br>elbow
<img src=""><br>gazda,<img src=""><br>farmer
<img src=""><br>művész,<img src=""><br>artist
<img src=""><br>üzletasszony,<img src=""><br>business woman
<img src=""><br>építőipari építőmester,<img src=""><br>builder
<img src=""><br>fogorvos,<img src=""><br>dentist
<img src=""><br>mérnök,<img src=""><br>engineer
<img src=""><br>ügyvéd,<img src=""><br>lawyer
<img src=""><br>bolti eladó,<img src=""><br>shop assistant
<img src=""><br>tűzoltó,<img src=""><br>fireman
<img src=""><br>rendőr,<img src=""><br>policeman
<img src=""><br>sütés,<img src=""><br>bake
<img src=""><br>sütés,<img src=""><br>fry
<img src=""><br>melegítés,<img src=""><br>heat
<img src=""><br>keverés,<img src=""><br>mix
<img src=""><br>főzés,<img src=""><br>boil
<img src=""><br>aranyos,<img src=""><br>cute
<img src=""><br>sütés,<img src=""><br>roast
<img src=""><br>grillezés,<img src=""><br>grill
<img src=""><br>labda,<img src=""><br>ball
<img src=""><br>baseball ütő,<img src=""><br>bat
<img src=""><br>háló,<img src=""><br>net
<img src=""><br>gördeszka,<img src=""><br>skateboard
<img src=""><br>teniszütő,<img src=""><br>racket
<img src=""><br>bot,<img src=""><br>stick
<img src=""><br>szörfdeszka,<img src=""><br>surfboard
<img src=""><br>korcsolya,<img src=""><br>skates
<img src=""><br>barátkozás,<img src=""><br>make friends
<img src=""><br>tanfolyam elvégzése,<img src=""><br>do a course
<img src=""><br>vizsgázás,<img src=""><br>take an exam
<img src=""><br>házvásárlás,<img src=""><br>buy a house
<img src=""><br>költözik,<img src=""><br>move house
<img src=""><br>nyugdíjba vonulás,<img src=""><br>retire
<img src=""><br>délután,<img src=""><br>afternoon
<img src=""><br>művész,<img src=""><br>art
<img src=""><br>légkör,<img src=""><br>atmosphere
<img src=""><br>néni,<img src=""><br>aunt
<img src=""><br>baba,<img src=""><br>baby
<img src=""><br>hátizsák,<img src=""><br>backpack
<img src=""><br>biológia,<img src=""><br>biology
<img src=""><br>tömb,<img src=""><br>block
<img src=""><br>könyv,<img src=""><br>book
<img src=""><br>szünet,<img src=""><br>break
<img src=""><br>testvér,<img src=""><br>brother
<img src=""><br>kémia,<img src=""><br>chemistry
<img src=""><br>gyermek,<img src=""><br>child
<img src=""><br>osztály,<img src=""><br>class
<img src=""><br>osztálytárs,<img src=""><br>classmate
<img src=""><br>másolat,<img src=""><br>copy
<img src=""><br>unokatestvér,<img src=""><br>cousin
<img src=""><br>őrült,<img src=""><br>crazy
<img src=""><br>csinos,<img src=""><br>cute
<img src=""><br>apu,<img src=""><br>dad
<img src=""><br>lánya,<img src=""><br>daughter
<img src=""><br>határozottan,<img src=""><br>definitely
<img src=""><br>kettős,<img src=""><br>double
<img src=""><br>vizsga,<img src=""><br>examam
<img src=""><br>gyakorlat,<img src=""><br>excercise
<img src=""><br>mező,<img src=""><br>field
<img src=""><br>végül,<img src=""><br>finally
<img src=""><br>vicces,<img src=""><br>funny
<img src=""><br>bútor,<img src=""><br>forniture
<img src=""><br>földrajz,<img src=""><br>geography
<img src=""><br>unoka,<img src=""><br>granddaughter
<img src=""><br>nagyapa,<img src=""><br>grandfather
<img src=""><br>nagymama,<img src=""><br>grandmother
<img src=""><br>unokája,<img src=""><br>grandson
<img src=""><br>történelem,<img src=""><br>history
<img src=""><br>házi feladat,<img src=""><br>homework
<img src=""><br>férj,<img src=""><br>husband
<img src=""><br>laboratórium,<img src=""><br>laboratory
<img src=""><br>laptop,<img src=""><br>laptop
<img src=""><br>jel,<img src=""><br>mark
<img src=""><br>matematika,<img src=""><br>maths
<img src=""><br>reggel,<img src=""><br>morning
<img src=""><br>mama,<img src=""><br>mum
<img src=""><br>tiszta,<img src=""><br>neat
<img src=""><br>unokaöcs,<img src=""><br>nephew
<img src=""><br>unokahúg,<img src=""><br>niece
<img src=""><br>jegyzetfüzet,<img src=""><br>notebook
<img src=""><br>jegyzetek,<img src=""><br>notes
<img src=""><br>oxigén,<img src=""><br>oxygen
<img src=""><br>fényképezés,<img src=""><br>photography
<img src=""><br>poszter,<img src=""><br>poster
<img src=""><br>elnök,<img src=""><br>president
<img src=""><br>igazi,<img src=""><br>real
<img src=""><br>szoba,<img src=""><br>room
<img src=""><br>tudomány,<img src=""><br>science
<img src=""><br>nővér,<img src=""><br>sister
<img src=""><br>büdös,<img src=""><br>smelly
<img src=""><br>fiú,<img src=""><br>son
<img src=""><br>tartalék,<img src=""><br>spare
<img src=""><br>csillag,<img src=""><br>star
<img src=""><br>állami,<img src=""><br>state
<img src=""><br>szigorú,<img src=""><br>strict
<img src=""><br>diák,<img src=""><br>student
<img src=""><br>tanár,<img src=""><br>teacher
<img src=""><br>csapat,<img src=""><br>team
<img src=""><br>teszt,<img src=""><br>test
<img src=""><br>nyakkendő,<img src=""><br>tie
<img src=""><br>menetrend,<img src=""><br>timetable
<img src=""><br>kemény,<img src=""><br>tough
<img src=""><br>iker,<img src=""><br>twin
<img src=""><br>nagybácsi,<img src=""><br>uncle
<img src=""><br>üdvözöl,<img src=""><br>welcome
<img src=""><br>feleség,<img src=""><br>wife
<img src=""><br>aggodalom,<img src=""><br>worry
<img src=""><br>nulla,<img src=""><br>zero
<img src=""><br>tanács,<img src=""><br>advice
<img src=""><br>megenged,<img src=""><br>allow
<img src=""><br>bosszant,<img src=""><br>annoy
<img src=""><br>az iskolában,<img src=""><br>at school
<img src=""><br>az üzletekben,<img src=""><br>at the shops
<img src=""><br>atlétika,<img src=""><br>athletics
<img src=""><br>süteményt sütni,<img src=""><br>bake cake
<img src=""><br>tilalom,<img src=""><br>ban
<img src=""><br>benne lenni,<img src=""><br>be into
<img src=""><br>biciklizés,<img src=""><br>bike ride
<img src=""><br>blog,<img src=""><br>blog
<img src=""><br>zavarta,<img src=""><br>bothered
<img src=""><br>dolgokat gyűjteni,<img src=""><br>collect things
<img src=""><br>sportolj,<img src=""><br>do sport
<img src=""><br>rajzolj egy képet,<img src=""><br>draw a picture
<img src=""><br>gyakorlat,<img src=""><br>excercise
<img src=""><br>megmagyarázni,<img src=""><br>explain
<img src=""><br>fórum,<img src=""><br>forum
<img src=""><br>szabadidő,<img src=""><br>free time
<img src=""><br>tánc,<img src=""><br>dancing
<img src=""><br>online,<img src=""><br>online
<img src=""><br>lovaglás,<img src=""><br>riding
<img src=""><br>bevásárlás,<img src=""><br>shopping
<img src=""><br>mozi,<img src=""><br>cinema
<img src=""><br>szokás,<img src=""><br>habit
<img src=""><br>hobbi,<img src=""><br>hobby
<img src=""><br>egy fastfoow étteremben,<img src=""><br>in a fastfoow restaurant
<img src=""><br>az ágyban,<img src=""><br>in bed
<img src=""><br>a szobámban,<img src=""><br>in my room
<img src=""><br>az autóban,<img src=""><br>in the car
<img src=""><br>vidéken,<img src=""><br>in the countryside
<img src=""><br>a játszótéren,<img src=""><br>in the playground
<img src=""><br>a városban,<img src=""><br>in town
<img src=""><br>fedett,<img src=""><br>indoors
<img src=""><br>hagyja,<img src=""><br>let
<img src=""><br>élet,<img src=""><br>life
<img src=""><br>zenét hallgatni,<img src=""><br>listen to music
<img src=""><br>szerencsés,<img src=""><br>lucky
<img src=""><br>mérges,<img src=""><br>mad about
<img src=""><br>fő-,<img src=""><br>main
<img src=""><br>videókat készíteni,<img src=""><br>make videos
<img src=""><br>barátokkal találkozni,<img src=""><br>meet friends
<img src=""><br>elme,<img src=""><br>mind
<img src=""><br>nan,<img src=""><br>nan
<img src=""><br>normál,<img src=""><br>normal
<img src=""><br>közel,<img src=""><br>near
<img src=""><br>normál,<img src=""><br>normal
<img src=""><br>a buszon,<img src=""><br>on the bus
<img src=""><br>a telefonon,<img src=""><br>on the phone
<img src=""><br>szabadban,<img src=""><br>outdoors
<img src=""><br>festék,<img src=""><br>paint
<img src=""><br>festeni egy képet,<img src=""><br>paint a picture
<img src=""><br>hangszeren játszani,<img src=""><br>play an instrument
<img src=""><br>profil,<img src=""><br>profile
<img src=""><br>kérdőív,<img src=""><br>questionnaire
<img src=""><br>jobbra,<img src=""><br>right
<img src=""><br>rutin,<img src=""><br>routine
<img src=""><br>szabály,<img src=""><br>rule
<img src=""><br>pontszám,<img src=""><br>score
<img src=""><br>képernyő,<img src=""><br>screen
<img src=""><br>tölt,<img src=""><br>spend
<img src=""><br>maradj későn az ágyban,<img src=""><br>stay in bed late
<img src=""><br>teljes,<img src=""><br>total
<img src=""><br>edző,<img src=""><br>trainer
<img src=""><br>séta,<img src=""><br>walk
<img src=""><br>tévét nézni,<img src=""><br>watch TV
<img src=""><br>weboldal,<img src=""><br>webpage
<img src=""><br>hétvége,<img src=""><br>weekend
<img src=""><br>történeteket írni,<img src=""><br>write stories
<img src=""><br>hozzáad,<img src=""><br>add
<img src=""><br>félni,<img src=""><br>afraid
<img src=""><br>dühös,<img src=""><br>angry
<img src=""><br>elkötelezte magát,<img src=""><br>be engaged
<img src=""><br>elfoglalt,<img src=""><br>be busy
<img src=""><br>hívja vissza,<img src=""><br>call back
<img src=""><br>kártya,<img src=""><br>card
<img src=""><br>kommunikáció,<img src=""><br>communication
<img src=""><br>összehasonlítva,<img src=""><br>compared
<img src=""><br>folytassa,<img src=""><br>continue
<img src=""><br>hitel,<img src=""><br>credit
<img src=""><br>kultúra,<img src=""><br>culture
<img src=""><br>arra szentelt,<img src=""><br>dedicated to
<img src=""><br>részlet,<img src=""><br>detail
<img src=""><br>tárcsázzon egy számot,<img src=""><br>dial a number
<img src=""><br>csengőhang letöltése,<img src=""><br>download a ringtone
<img src=""><br>email,<img src=""><br>email
<img src=""><br>emoji,<img src=""><br>emoji
<img src=""><br>hangulatjel,<img src=""><br>emoticon
<img src=""><br>négyszemközti beszélgetés,<img src=""><br>face-to-face conversation
<img src=""><br>tényfájl,<img src=""><br>fact file
<img src=""><br>érzés,<img src=""><br>feeling
<img src=""><br>tegye le a telefont,<img src=""><br>hang up
<img src=""><br>alig,<img src=""><br>hardly
<img src=""><br>figyelmen kívül hagyni,<img src=""><br>ignore
<img src=""><br>kártyázik,<img src=""><br>play cards
<img src=""><br>takaros,<img src=""><br>tidy
<img src=""><br>zenekarban játszani,<img src=""><br>play in a band
<img src=""><br>menjen kirándulni,<img src=""><br>go hiking
<img src=""><br>gyakorolni,<img src=""><br>do excercise
<img src=""><br>fényképeket készíteni,<img src=""><br>take photos
<img src=""><br>fontos,<img src=""><br>important
<img src=""><br>azonnali üzenetküldés,<img src=""><br>instant messeging
<img src=""><br>nemzetközi,<img src=""><br>international
<img src=""><br>interjú,<img src=""><br>interview
<img src=""><br>bevezetés,<img src=""><br>introduction
<img src=""><br>vezetékes,<img src=""><br>landline
<img src=""><br>hagyjon hangüzenetet,<img src=""><br>leave a voicemail
<img src=""><br>levél,<img src=""><br>letter
<img src=""><br>vonal,<img src=""><br>line
<img src=""><br>készítsd el,<img src=""><br>make it
<img src=""><br>talán,<img src=""><br>maybe
<img src=""><br>mobiltelefon,<img src=""><br>mobile phone
<img src=""><br>hír,<img src=""><br>news
<img src=""><br>terv,<img src=""><br>plan
<img src=""><br>pont,<img src=""><br>point
<img src=""><br>úgy tenni mintha,<img src=""><br>pretend
<img src=""><br>nyilvános hely,<img src=""><br>public place
<img src=""><br>tegyen kihangosítót,<img src=""><br>put a speakerphone
<img src=""><br>recepció,<img src=""><br>reception
<img src=""><br>jelentés,<img src=""><br>report
<img src=""><br>válasz,<img src=""><br>response
<img src=""><br>gyűrű,<img src=""><br>ring
<img src=""><br>küldjön egy szöveges üzenetet,<img src=""><br>send a text message
<img src=""><br>megmutat,<img src=""><br>show
<img src=""><br>jel,<img src=""><br>sign
<img src=""><br>buta,<img src=""><br>silly
<img src=""><br>bőr,<img src=""><br>skin
<img src=""><br>közösségi média,<img src=""><br>social media
<img src=""><br>hang,<img src=""><br>sound
<img src=""><br>szólaljon meg,<img src=""><br>speak up
<img src=""><br>különleges,<img src=""><br>special
<img src=""><br>Persze,<img src=""><br>sure
<img src=""><br>meglepődött,<img src=""><br>surprised
<img src=""><br>okostelefon,<img src=""><br>smartphone
<img src=""><br>webkamera,<img src=""><br>webcam
<img src=""><br>fejhallgató,<img src=""><br>headphones
<img src=""><br>számítógépes egér,<img src=""><br>mouse
<img src=""><br>laptop,<img src=""><br>laptop
<img src=""><br>billentyűzet,<img src=""><br>keyboard
<img src=""><br>szimbólum,<img src=""><br>symbol
<img src=""><br>szöveg,<img src=""><br>text
<img src=""><br>szöveges üzenet,<img src=""><br>text message
<img src=""><br>feltölteni,<img src=""><br>top up
<img src=""><br>valóban,<img src=""><br>truly
<img src=""><br>típus,<img src=""><br>type
<img src=""><br>hasznos,<img src=""><br>useful
<img src=""><br>videó karakter,<img src=""><br>video character
<img src=""><br>győzelem,<img src=""><br>win
<img src=""><br>csodál,<img src=""><br>admire
<img src=""><br>élő,<img src=""><br>alive
<img src=""><br>hadsereg,<img src=""><br>army
<img src=""><br>csillagász,<img src=""><br>astronomer
<img src=""><br>szörnyű,<img src=""><br>awful
<img src=""><br>azték,<img src=""><br>Aztec
<img src=""><br>barbecue,<img src=""><br>barbecue
<img src=""><br>csata,<img src=""><br>battle
<img src=""><br>unalmas,<img src=""><br>boring
<img src=""><br>barát,<img src=""><br>boyfriend
<img src=""><br>bátor,<img src=""><br>brave
<img src=""><br>ragyogó,<img src=""><br>brilliant
<img src=""><br>épület,<img src=""><br>building
<img src=""><br>ünnepel,<img src=""><br>celebrate
<img src=""><br>gyűjtemény,<img src=""><br>collection
<img src=""><br>jön,<img src=""><br>come
<img src=""><br>halott,<img src=""><br>dead
<img src=""><br>dinoszaurusz,<img src=""><br>dinosaur
<img src=""><br>felfedezni,<img src=""><br>discover
<img src=""><br>kijelző,<img src=""><br>display
<img src=""><br>hatalmas,<img src=""><br>enormous
<img src=""><br>esemény,<img src=""><br>event
<img src=""><br>izgalmas,<img src=""><br>exciting
<img src=""><br>kiállít,<img src=""><br>exhibit
<img src=""><br>kiállítás,<img src=""><br>exhibition
<img src=""><br>fedezze fel,<img src=""><br>explore
<img src=""><br>érezni,<img src=""><br>feel
<img src=""><br>harc,<img src=""><br>fight
<img src=""><br>talál,<img src=""><br>find
<img src=""><br>tűzijáték,<img src=""><br>firework
<img src=""><br>repülő gép,<img src=""><br>flying machine
<img src=""><br>kap,<img src=""><br>get
<img src=""><br>szobor,<img src=""><br>statue
<img src=""><br>székesegyház,<img src=""><br>cathedral
<img src=""><br>palota,<img src=""><br>palace
<img src=""><br>mecset,<img src=""><br>mosque
<img src=""><br>szökőkút,<img src=""><br>fountain
<img src=""><br>vár,<img src=""><br>castle
<img src=""><br>templom,<img src=""><br>temple
<img src=""><br>ad,<img src=""><br>give
<img src=""><br>menjen kirándulni,<img src=""><br>go hiking
<img src=""><br>hajvágás,<img src=""><br>haircut
<img src=""><br>van,<img src=""><br>have
<img src=""><br>fejhallgató,<img src=""><br>headphones
<img src=""><br>helikopter,<img src=""><br>helicopter
<img src=""><br>Segítség,<img src=""><br>help
<img src=""><br>becsületes,<img src=""><br>honest
<img src=""><br>szörnyű,<img src=""><br>horrible
<img src=""><br>ember,<img src=""><br>human
<img src=""><br>beront,<img src=""><br>invade
<img src=""><br>feltalál,<img src=""><br>invent
<img src=""><br>találmány,<img src=""><br>invention
<img src=""><br>utazás,<img src=""><br>journey
<img src=""><br>fajta,<img src=""><br>kind
<img src=""><br>király,<img src=""><br>king
<img src=""><br>ólom,<img src=""><br>lead
<img src=""><br>néz,<img src=""><br>look
<img src=""><br>veszít,<img src=""><br>lose
<img src=""><br>mérkőzés,<img src=""><br>match
<img src=""><br>találkozik,<img src=""><br>meet
<img src=""><br>hold,<img src=""><br>moon
<img src=""><br>motorkerékpár,<img src=""><br>motorbike
<img src=""><br>zaj,<img src=""><br>noise
<img src=""><br>értesítés,<img src=""><br>notice
<img src=""><br>tárgy,<img src=""><br>object
<img src=""><br>ejtőernyő,<img src=""><br>parachute
<img src=""><br>buli,<img src=""><br>party
<img src=""><br>periódus,<img src=""><br>period
<img src=""><br>játék,<img src=""><br>play
<img src=""><br>szegény,<img src=""><br>poor
<img src=""><br>népszerű,<img src=""><br>popular
<img src=""><br>piramis,<img src=""><br>pyramid
<img src=""><br>királynő,<img src=""><br>queen
<img src=""><br>gyorsan,<img src=""><br>quickly
<img src=""><br>megnyugtató,<img src=""><br>relaxing
<img src=""><br>gazdag,<img src=""><br>rich
<img src=""><br>szabály,<img src=""><br>rule
<img src=""><br>áldozat,<img src=""><br>sacrifice
<img src=""><br>ijesztő,<img src=""><br>scary
<img src=""><br>lát,<img src=""><br>see
<img src=""><br>beteg,<img src=""><br>sick
<img src=""><br>rabszolga,<img src=""><br>slave
<img src=""><br>rabszolgaság,<img src=""><br>slavery
<img src=""><br>marad,<img src=""><br>stay
<img src=""><br>furcsa,<img src=""><br>strange
<img src=""><br>meglepetés,<img src=""><br>surprise
<img src=""><br>fényképeket készíteni,<img src=""><br>take photos
<img src=""><br>távcső,<img src=""><br>telescope
<img src=""><br>a Tejút,<img src=""><br>the Milky Way
<img src=""><br>apró,<img src=""><br>tiny
<img src=""><br>kereskedő,<img src=""><br>trader
<img src=""><br>szállítás,<img src=""><br>transport
<img src=""><br>utazás,<img src=""><br>travel
<img src=""><br>utazás,<img src=""><br>trip
<img src=""><br>népszerűtlen,<img src=""><br>unpopular
<img src=""><br>Viking,<img src=""><br>Viking
<img src=""><br>VIP,<img src=""><br>VIP
<img src=""><br>látogatás,<img src=""><br>visit
<img src=""><br>háború,<img src=""><br>war
<img src=""><br>óra,<img src=""><br>watch
<img src=""><br>esküvő,<img src=""><br>wedding
<img src=""><br>nedves,<img src=""><br>wet
<img src=""><br>elképesztő,<img src=""><br>amazing
<img src=""><br>szög,<img src=""><br>angle
<img src=""><br>háttér,<img src=""><br>background
<img src=""><br>rossz,<img src=""><br>bad
<img src=""><br>rosszul,<img src=""><br>badly
<img src=""><br>mögött,<img src=""><br>behind
<img src=""><br>alsó,<img src=""><br>bottom
<img src=""><br>bátran,<img src=""><br>bravely
<img src=""><br>buldózer,<img src=""><br>bulldozer
<img src=""><br>bozóttűz,<img src=""><br>bush fire
<img src=""><br>óvatos,<img src=""><br>careful
<img src=""><br>gondosan,<img src=""><br>carefully
<img src=""><br>híresség,<img src=""><br>celebrity
<img src=""><br>mássz fel,<img src=""><br>climb up
<img src=""><br>közeli,<img src=""><br>close
<img src=""><br>kényelmes,<img src=""><br>comfortable
<img src=""><br>kényelmesen,<img src=""><br>comfortably
<img src=""><br>alkotó,<img src=""><br>creative
<img src=""><br>kreatívan,<img src=""><br>creatively
<img src=""><br>könnyen,<img src=""><br>easily
<img src=""><br>könnyű,<img src=""><br>easy
<img src=""><br>rendkívülien,<img src=""><br>extremely
<img src=""><br>fogás,<img src=""><br>catch
<img src=""><br>nyomja,<img src=""><br>push
<img src=""><br>hullám,<img src=""><br>wave
<img src=""><br>Húzni,<img src=""><br>pull
<img src=""><br>dobás,<img src=""><br>throw
<img src=""><br>kúszik,<img src=""><br>crawl
<img src=""><br>leesik,<img src=""><br>fall off
<img src=""><br>gyors,<img src=""><br>fast
<img src=""><br>tűzijáték,<img src=""><br>firework
<img src=""><br>tűzoltó,<img src=""><br>firefighter
<img src=""><br>virág,<img src=""><br>flower
<img src=""><br>előtér,<img src=""><br>foreground
<img src=""><br>erdő,<img src=""><br>forest
<img src=""><br>kiszáll,<img src=""><br>get out
<img src=""><br>jó,<img src=""><br>good
<img src=""><br>lógni,<img src=""><br>hanging
<img src=""><br>boldogan,<img src=""><br>happily
<img src=""><br>boldog,<img src=""><br>happy
<img src=""><br>tart,<img src=""><br>hold
<img src=""><br>lyuk,<img src=""><br>hole
<img src=""><br>lenyűgözött,<img src=""><br>impressed
<img src=""><br>sziget,<img src=""><br>island
<img src=""><br>felugrik,<img src=""><br>jump up
<img src=""><br>rúgás,<img src=""><br>kick
<img src=""><br>kölyök,<img src=""><br>kid
<img src=""><br>koala,<img src=""><br>koala
<img src=""><br>balra,<img src=""><br>left
<img src=""><br>hazugság,<img src=""><br>lie
<img src=""><br>helyi,<img src=""><br>local
<img src=""><br>úgy néz ki,<img src=""><br>look like
<img src=""><br>emlék,<img src=""><br>memory
<img src=""><br>sár,<img src=""><br>mud
<img src=""><br>megfigyelés,<img src=""><br>observation
<img src=""><br>türelmes,<img src=""><br>patient
<img src=""><br>türelmesen,<img src=""><br>patiently
<img src=""><br>engedély,<img src=""><br>permission
<img src=""><br>felvenni,<img src=""><br>pick up
<img src=""><br>udvarias,<img src=""><br>polite
<img src=""><br>udvariasan,<img src=""><br>politely
<img src=""><br>póz,<img src=""><br>pose
<img src=""><br>megjósolni,<img src=""><br>predict
<img src=""><br>csendes,<img src=""><br>quiet
<img src=""><br>csendesen,<img src=""><br>quietly
<img src=""><br>verseny,<img src=""><br>race
<img src=""><br>megmentés,<img src=""><br>rescue
<img src=""><br>durva,<img src=""><br>rude
<img src=""><br>durván,<img src=""><br>rudely
<img src=""><br>szafari,<img src=""><br>safari
<img src=""><br>homok,<img src=""><br>sand
<img src=""><br>szelfi,<img src=""><br>selfie
<img src=""><br>ül,<img src=""><br>sit
<img src=""><br>lassú,<img src=""><br>slow
<img src=""><br>lassan,<img src=""><br>slowly
<img src=""><br>mosoly,<img src=""><br>smile
<img src=""><br>áll,<img src=""><br>stand
<img src=""><br>mókus,<img src=""><br>squirrel
<img src=""><br>részt vesz,<img src=""><br>take part
<img src=""><br>tipp,<img src=""><br>tip
<img src=""><br>teteje,<img src=""><br>top
<img src=""><br>teherautó,<img src=""><br>truck
<img src=""><br>szokatlan,<img src=""><br>unusual
<img src=""><br>önkéntes,<img src=""><br>volunteer
